PCIP01,PCIP03,PCIP04,PCIP05,PCIP09,PCIP10,PCIP11,PCIP12,PCIP13,PCIP14,PCIP15,PCIP16,PCIP19,PCIP22,PCIP23,PCIP24,PCIP25,PCIP26,PCIP27,PCIP29,PCIP30,PCIP31,PCIP38,PCIP39,PCIP40,PCIP41,PCIP42,PCIP43,PCIP44,PCIP45,PCIP46,PCIP47,PCIP48,PCIP49,PCIP50,PCIP51,PCIP52,PCIP54,UGDS,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,PPTUG_EF,COSTT4_A,TUITIONFEE_IN,TUITIONFEE_OUT,TUITFTE,INEXPFTE,AVGFACSAL,PFTFAC,UGDS_WOMEN,RET_PT4_POOLED,RET_PT4_POOLED_binr
0.0375,0.0177,0.0088,0.0,0.0,0.0442,0.0353,0.0,0.1192,0.0751,0.0287,0.0,0.0199,0.0,0.0132,0.0618,0.0,0.0949,0.0,0.0,0.0,0.0,0.0,0.0,0.0353,0.0,0.0574,0.0552,0.0751,0.0243,0.0,0.0,0.0,0.0,0.0265,0.0,0.17,0.0,4824.0,0.0253,0.9073,0.0091,0.0019,0.0021,0.0019,0.0104,0.0089,0.0332,0.0655,22886.0,9857.0,18236.0,9227.0,7298.0,6983.0,0.7128,0.5775,0.2759,0
0.0,0.0,0.0,0.0021,0.0349,0.0,0.0141,0.0,0.0665,0.0698,0.0,0.0025,0.0,0.0,0.0174,0.0187,0.0,0.0773,0.0112,0.0,0.0,0.0,0.0058,0.0,0.0174,0.0,0.0648,0.0303,0.0266,0.0349,0.0,0.0,0.0,0.0,0.0361,0.2493,0.2057,0.0145,12866.0,0.5784,0.2585,0.0333,0.0588,0.0033,0.0002,0.0408,0.0195,0.0072,0.2515,24129.0,8328.0,19032.0,11612.0,17235.0,10640.0,0.8993,0.5958,0.4357,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857,0.0,0.0,0.127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1587,0.0,0.0,0.0,0.0794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3492,0.0,322.0,0.0714,0.1429,0.0062,0.0031,0.0,0.0,0.0,0.0,0.7764,0.5435,15080.0,6900.0,6900.0,14738.0,5265.0,3866.0,1.0,0.6366,0.1765,0
0.0,0.0,0.0,0.0,0.0208,0.0,0.0755,0.0,0.034,0.2918,0.0,0.0123,0.0,0.0,0.0189,0.0,0.0,0.0585,0.0142,0.0,0.0009,0.0255,0.0076,0.0,0.0312,0.0,0.0151,0.0,0.0,0.0217,0.0,0.0,0.0,0.0,0.0246,0.102,0.2351,0.0104,6917.0,0.7415,0.1073,0.0463,0.0402,0.011000000000000001,0.001,0.0259,0.024,0.0029,0.1496,22108.0,10280.0,21480.0,8727.0,9748.0,9391.0,0.6457,0.4195,0.5,0
0.0,0.0,0.0,0.0,0.0929,0.0,0.0565,0.0,0.1225,0.0,0.0,0.0,0.0,0.0,0.0121,0.0,0.0,0.0848,0.0175,0.0,0.0,0.0242,0.0,0.0,0.0269,0.0,0.0633,0.0821,0.0511,0.0108,0.0,0.0,0.0,0.0,0.0592,0.183,0.1104,0.0027,4189.0,0.0146,0.9379,0.0095,0.0031,0.0014,0.0007,0.0107,0.0107,0.0112,0.0771,19413.0,11068.0,19396.0,9003.0,7983.0,7399.0,0.5416,0.6219,0.3636,0
0.0,0.0034,0.0,0.0031,0.1049,0.0,0.0088,0.0,0.066,0.1094,0.0,0.0048,0.0603,0.0,0.0115,0.0,0.0,0.0321,0.0077,0.0,0.0162,0.0,0.0029,0.0,0.0108,0.0,0.0348,0.0245,0.0122,0.0343,0.0,0.0,0.0,0.0,0.0274,0.1146,0.2998,0.0108,32387.0,0.7847,0.1005,0.0471,0.0116,0.0032,0.001,0.0317,0.0161,0.004,0.0792,28836.0,10780.0,28100.0,13574.0,10894.0,10016.0,0.7404,0.5557,0.4528,0
0.0,0.0046,0.0,0.0,0.0352,0.0,0.0597,0.0,0.0812,0.0,0.0,0.0092,0.0,0.0,0.0138,0.0092,0.0,0.0551,0.0061,0.0,0.0153,0.0582,0.0,0.0,0.0153,0.0,0.0613,0.0582,0.0,0.0383,0.0,0.0,0.0,0.0,0.0276,0.2389,0.2021,0.0107,4211.0,0.4963,0.3833,0.0126,0.0256,0.0052,0.0007,0.0342,0.0361,0.0059,0.2315,19892.0,8020.0,17140.0,8709.0,7487.0,7518.0,0.9735,0.6417,0.4713,0
0.0439,0.0157,0.0157,0.0,0.0546,0.0,0.0098,0.0,0.0516,0.1821,0.0,0.0084,0.0318,0.0,0.0136,0.0,0.0,0.1191,0.0086,0.0,0.0255,0.0,0.003,0.0,0.0089,0.0,0.0273,0.0,0.0123,0.0318,0.0,0.0,0.0,0.0,0.0325,0.0591,0.2353,0.0093,23391.0,0.818,0.0625,0.0338,0.024,0.0044,0.0004,0.0182,0.0346,0.0041,0.0838,30458.0,10968.0,29640.0,15479.0,12067.0,10137.0,0.855,0.4927,0.8072,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1644,0.0,0.0,0.0,0.0,0.0,0.0,0.3562,0.0,0.0,0.0,0.0,0.0548,0.0,0.0,0.0,0.0,0.0,0.0,0.13699999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0685,0.2192,0.0,389.0,0.0334,0.9049,0.0129,0.0,0.0,0.0,0.0,0.0488,0.0,0.07200000000000001,27620.0,10320.0,10320.0,5301.0,10910.0,5409.0,0.3968,0.5064,0.3,0
0.0,0.0,0.0,0.0,0.0,0.0,0.1389,0.0,0.0,0.0,0.0,0.0,0.0,0.0741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037000000000000005,0.037000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6111,0.1019,0.0,369.0,0.2764,0.664,0.0244,0.0108,0.0027,0.0027,0.0,0.0,0.019,0.2249,26613.0,17014.0,17014.0,16005.0,8419.0,4830.0,0.1852,0.7263,0.1667,0
